Time Stamp,ID,Extended,Dir,Bus,LEN,D0,D1,D2,D3,D4,D5,D6,D7
1743890401.859,00000517,0,Rx,0,8,01,00,00,00,00,00,00,00
1743890401.860,00000010,0,Rx,0,8,00,FF,61,30,00,00,0C,A2
1743890401.861,00000231,0,Rx,0,8,00,05,00,00,00,00,07,02
1743890401.862,00000013,0,Rx,0,8,FF,01,09,00,00,00,00,00
1743890401.863,00000012,0,Rx,0,8,99,99,32,00,01,00,07,34
1743890401.864,00000010,0,Rx,0,8,00,FF,61,30,00,00,0F,A1
1743890401.865,00000400,0,Rx,0,8,00,0D,0A,F0,00,01,0C,FA
1743890401.866,00000012,0,Rx,0,8,99,99,32,00,00,00,08,3A
1743890401.867,00000102,0,Rx,0,8,00,00,18,63,58,CE,05,E8
1743890401.868,00000411,0,Rx,0,8,32,60,00,00,00,00,00,00
1743890401.869,00000013,0,Rx,0,8,FF,01,09,00,00,00,00,00
1743890401.870,00000102,0,Rx,0,8,00,00,18,63,58,CE,07,EA
1743890401.871,00000103,0,Rx,0,8,03,00,02,00,00,00,08,09
1743890401.872,00000022,0,Rx,0,8,FF,FF,FF,FF,00,00,0E,0E
1743890401.873,00000316,0,Rx,0,8,12,91,01,34,5D,00,00,00
1743890401.874,00000516,0,Rx,0,8,00,00,00,00,00,00,00,00
1743890401.875,00000517,0,Rx,0,8,00,00,00,00,00,00,00,00
1743890401.876,00000530,0,Rx,0,8,FF,FE,F5,D8,52,03,91,00
1743890401.877,00000102,0,Rx,0,8,00,00,18,63,58,CE,0C,E1
1743890401.878,00000013,0,Rx,0,8,FF,01,09,00,00,00,00,00
1743890401.879,00000102,0,Rx,0,8,00,00,18,63,58,CE,0D,E0
1743890401.880,00000012,0,Rx,0,8,99,99,32,00,00,00,0C,3E
1743890401.881,00000010,0,Rx,0,8,00,FF,61,30,00,00,09,A7
1743890401.882,00000102,0,Rx,0,8,00,00,18,63,58,CE,0F,E2
1743890401.883,00000012,0,Rx,0,8,99,99,32,00,01,00,0D,3E
1743890401.884,00000102,0,Rx,0,8,00,00,18,63,58,CE,00,ED
1743890401.885,00000516,0,Rx,0,8,00,00,00,00,00,00,00,00
1743890401.886,00000122,0,Rx,0,8,2A,23,2D,21,00,00,04,01
1743890401.887,00000408,0,Rx,0,8,00,41,45,0A,FF,FF,03,0D
1743890401.888,00000516,0,Rx,0,8,00,00,00,00,00,00,00,00
1743890401.889,00000231,0,Rx,0,8,00,05,00,00,00,00,0A,0F
1743890401.890,00000022,0,Rx,0,8,FF,FF,FF,FF,00,00,04,04
1743890401.891,00000530,0,Rx,0,8,FF,FE,F5,D8,52,03,91,00
1743890401.892,00000102,0,Rx,0,8,00,00,18,63,58,CE,06,EB
